Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Chairs & Chairmats,Saco,Medium Box,1377,Gilbert P Sun,Home Office,Furniture,10798,SAFCO Folding Chair Trolley,1/15/2016,88218,Not Specified,4072,East,9/13/1950,1/15/2016,Regular Air,Maine,0.1,22,0,1255,2648,13,128
Office Machines,Wilson,Medium Box,2779,Jacob Burgess,Corporate,Technology,10187,"210 Trimline Phone, White",7/21/2016,87173,Medium,27893,South,1/16/1959,7/25/2016,Regular Air,North Carolina,0.01,17,0.38,-109,294,11,16
Binders and Binder Accessories,Irving,Small Box,2854,Brian Norman,Corporate,Office Supplies,10470,Avery Hanging File Binders,12/11/2015,87327,Medium,75061,Central,2/25/1961,12/25/2015,Regular Air,Texas,0.01,12,0.39,40,75,1,6
Office Machines,Santa Rosa,Small Box,1136,Carmen McPherson,Consumer,Technology,11204,"AT&T Black Trimline Phone, Model 210",8/10/2015,87945,High,95404,West,2/8/1972,8/10/2015,Regular Air,California,0.07,24,0.49,-102,380,9,16
Office Furnishings,Des Moines,Small Box,2855,Vicki Womble,Corporate,Furniture,10700,12-1/2 Diameter Round Wall Clock,12/11/2015,87327,Medium,98198,West,2/28/1961,12/25/2015,Express Air,Washington,0.07,13,0.49,54,269,10,20
Labels,Des Moines,Small Box,2855,Vicki Womble,Corporate,Office Supplies,10986,Avery 498,12/12/2014,87327,Medium,98198,West,2/27/1961,12/26/2014,Regular Air,Washington,0.02,23,0.38,46,66,1,3
Computer Peripherals,Des Moines,Small Pack,2855,Vicki Womble,Corporate,Technology,10337,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",12/9/2016,87327,Medium,98198,West,2/26/1961,12/23/2016,Regular Air,Washington,0.08,19,0.43,290,420,2,22
Binders and Binder Accessories,Attleboro,Small Box,1378,Derek Shah,Home Office,Office Supplies,10919,Binder Posts,1/15/2016,88218,Not Specified,2703,East,9/12/1950,1/15/2016,Regular Air,Massachusetts,0.05,25,0.39,-95,140,5,6
Paper,Santa Rosa,Small Box,236,Shawn McIntyre,Consumer,Office Supplies,10828,Xerox 210,7/3/2016,86628,Low,95404,West,7/30/1963,7/4/2016,Regular Air,California,0.05,13,0.37,-78,89,7,6
Binders and Binder Accessories,Santa Rosa,Small Box,1696,Bonnie G Keith,Home Office,Office Supplies,10920,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",10/28/2016,86345,Low,95404,West,9/25/1965,10/28/2016,Regular Air,California,0.04,17,0.39,3,146,3,9
Storage & Organization,Detroit,Large Box,1975,Jennifer Grant,Consumer,Office Supplies,10451,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",10/18/2016,89046,Critical,48227,Central,2/18/1968,10/18/2016,Express Air,Michigan,0.05,8,0.8,-391,2140,35,279
Storage & Organization,Detroit,Small Box,2756,Ruth McConnell Young,Consumer,Office Supplies,10350,Portable Personal File Box,8/27/2015,45571,Medium,48205,Central,7/21/1917,8/27/2015,Regular Air,Michigan,0.05,90,0.58,-7,1106,5,12
Paper,West Lafayette,Wrap Bag,1778,Ray Oakley,Corporate,Office Supplies,11184,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",12/31/2014,89953,High,47906,Central,10/19/1969,12/31/2014,Regular Air,Indiana,0.06,12,0.38,302,438,5,38
Paper,Evans,Small Box,2900,Francis Edwards,Home Office,Office Supplies,11017,Xerox 1952,2/18/2016,86296,Low,30809,South,1/28/1950,2/18/2016,Regular Air,Georgia,0.06,16,0.38,11,79,5,5
Computer Peripherals,Redford,Small Box,3343,Herbert Liu,Home Office,Technology,11182,Adesso Programmable 142-Key Keyboard,12/29/2015,89932,Critical,48239,Central,10/21/1952,12/29/2015,Regular Air,Michigan,0.1,4,0.79,-391,571,4,152
Computer Peripherals,Washington,Small Box,3342,Paul Tate,Home Office,Technology,11182,Adesso Programmable 142-Key Keyboard,1/19/2016,9409,Critical,20006,East,7/11/1903,1/19/2016,Regular Air,District of Columbia,0.1,16,0.79,-391,2284,4,152
Copiers and Fax,Dallas,Large Box,667,Allison Kirby,Corporate,Technology,10639,Brother DCP1000 Digital 3 in 1 Multifunction Machine,8/5/2016,27265,Critical,75203,Central,6/18/1910,8/5/2016,Regular Air,Texas,0.02,64,0.5,-1792,19568,12,300
Copiers and Fax,Murfreesboro,Large Box,665,Miriam Mueller,Corporate,Technology,10639,Brother DCP1000 Digital 3 in 1 Multifunction Machine,9/30/2016,88681,Critical,37130,South,9/29/1959,9/30/2016,Regular Air,Tennessee,0.02,16,0.5,335,4892,12,300
Telephones and Communication,Troy,Medium Box,3366,Dana Boyle,Home Office,Technology,11113,1726 Digital Answering Machine,7/29/2015,90510,Low,45373,East,8/1/1957,7/29/2015,Regular Air,Ohio,0.01,1,0.58,-100,20,5,21
Envelopes,Dallas,Small Box,667,Allison Kirby,Corporate,Office Supplies,10290,Multimedia Mailers,8/8/2014,27265,Critical,75203,Central,6/19/1910,8/8/2014,Express Air,Texas,0.05,47,0.39,2254,7294,20,163
Envelopes,Nashville,Small Box,666,Emily Sims,Corporate,Office Supplies,10290,Multimedia Mailers,10/3/2014,88681,Critical,37211,South,9/30/1959,10/3/2014,Express Air,Tennessee,0.05,12,0.39,122,1862,20,163
Paper,North Las Vegas,Wrap Bag,2831,Mike Strauss,Home Office,Office Supplies,11253,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",5/7/2014,89799,Medium,89031,West,7/13/1952,5/6/2015,Regular Air,Nevada,0.01,15,0.4,100,145,2,9
Office Furnishings,Dallas,Wrap Bag,667,Allison Kirby,Corporate,Furniture,11128,Document Clip Frames,8/7/2015,27265,Critical,75203,Central,6/20/1910,8/7/2015,Express Air,Texas,0.03,64,0.43,162,524,1,8
Office Furnishings,Nashville,Wrap Bag,666,Emily Sims,Corporate,Furniture,11128,Document Clip Frames,10/2/2015,88681,Critical,37211,South,10/1/1959,10/2/2015,Express Air,Tennessee,0.03,16,0.43,-1668,131,1,8
Office Furnishings,Homewood,Small Pack,2453,George Yates,Home Office,Furniture,10409,"Executive Impressions 13"" Chairman Wall Clock",8/26/2015,89230,Medium,35209,South,11/4/1951,8/26/2015,Regular Air,Alabama,0.03,2,0.5,45,52,9,25
Binders and Binder Accessories,New York City,Small Box,1416,Betsy Gibson,Small Business,Office Supplies,10514,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",12/16/2015,90550,Critical,10024,East,10/17/1968,12/16/2015,Regular Air,New York,0,12,0.37,358,519,7,41
Computer Peripherals,The Woodlands,Small Box,1139,Stacey Davenport,Home Office,Technology,11182,Adesso Programmable 142-Key Keyboard,9/25/2015,86585,High,77381,Central,10/11/1957,9/25/2015,Regular Air,Texas,0.1,12,0.79,15,1746,4,152
Computer Peripherals,The Woodlands,Small Pack,1139,Stacey Davenport,Home Office,Technology,10898,Imation DVD-RAM discs,9/25/2015,86585,High,77381,Central,10/12/1957,9/25/2015,Regular Air,Texas,0.08,10,0.43,238,345,2,35
Computer Peripherals,Troy,Small Box,3366,Dana Boyle,Home Office,Technology,10693,US Robotics 56K V.92 External Faxmodem,7/29/2015,90510,Low,45373,East,7/31/1957,7/29/2015,Regular Air,Ohio,0.04,15,0.52,1033,1547,20,100
Rubber Bands,Upper Arlington,Wrap Bag,3367,Renee McKenzie,Home Office,Office Supplies,10766,OIC Thumb-Tacks,7/30/2014,90510,Low,43221,East,8/3/1957,7/30/2014,Regular Air,Ohio,0.07,10,0.38,-3,11,1,1
Envelopes,Upper Arlington,Small Box,3367,Renee McKenzie,Home Office,Office Supplies,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",7/27/2016,90510,Low,43221,East,8/2/1957,7/27/2016,Regular Air,Ohio,0.1,13,0.38,133,193,1,16
Pens & Art Supplies,Saint Peters,Wrap Bag,1077,Elsie Byers,Corporate,Office Supplies,10799,Newell 336,11/5/2014,91577,Critical,63376,Central,6/11/1964,11/5/2014,Regular Air,Missouri,0.02,15,0.56,33,63,1,4
Paper,Cleveland,Small Box,2846,Jennifer Marks,Corporate,Office Supplies,11073,Computer Printout Paper with Letter-Trim Perforations,9/17/2015,85934,High,37311,South,5/2/1949,9/21/2015,Regular Air,Tennessee,0.02,9,0.37,698,178,9,19
Binders and Binder Accessories,Oxford,Small Box,3251,Peter Brooks,Small Business,Office Supplies,10491,Wilson Jones Suede Grain Vinyl Binders,9/24/2015,1829,High,1540,East,9/21/1900,9/24/2015,Regular Air,Massachusetts,0.07,62,0.36,7,172,1,3
Pens & Art Supplies,Oxford,Wrap Bag,3251,Peter Brooks,Small Business,Office Supplies,10194,Turquoise Lead Holder with Pocket Clip,11/5/2015,30784,Medium,1540,East,10/29/1911,11/10/2015,Regular Air,Massachusetts,0.02,62,0.52,80,434,2,7
Pens & Art Supplies,Rotterdam,Wrap Bag,3252,Milton Harrell,Small Business,Office Supplies,10194,Turquoise Lead Holder with Pocket Clip,10/16/2015,87304,Medium,12306,East,2/8/1961,10/16/2015,Regular Air,New York,0.02,16,0.52,77,112,2,7
Computer Peripherals,Salisbury,Small Box,2468,Rhonda Stein,Corporate,Technology,11090,Microsoft Internet Keyboard,9/9/2015,88146,Not Specified,28144,South,1/6/1956,9/9/2015,Regular Air,North Carolina,0,1,0.78,2,29,7,21
Bookcases,Oxford,Jumbo Box,3251,Peter Brooks,Small Business,Furniture,10993,"Hon Metal Bookcases, Black",11/6/2014,30784,Medium,1540,East,10/28/1911,11/11/2014,Delivery Truck,Massachusetts,0.06,13,0.6,-128,919,27,71
Bookcases,Rotterdam,Jumbo Box,3252,Milton Harrell,Small Business,Furniture,10993,"Hon Metal Bookcases, Black",10/17/2014,87304,Medium,12306,East,2/7/1961,10/17/2014,Delivery Truck,New York,0.06,3,0.6,-128,212,27,71
Office Furnishings,Southbury,Small Box,649,Roger Meyer,Home Office,Furniture,10386,"Howard Miller 16"" Diameter Gallery Wall Clock",11/17/2014,91370,High,6488,East,11/28/1966,11/17/2014,Regular Air,Connecticut,0,12,0.46,564,818,14,64
Pens & Art Supplies,Salisbury,Wrap Bag,2468,Rhonda Stein,Corporate,Office Supplies,10777,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",9/9/2015,88146,Not Specified,28144,South,1/7/1956,9/9/2015,Express Air,North Carolina,0.08,10,0.57,2477,22,1,2
Binders and Binder Accessories,San Antonio,Small Box,127,Ross Wang Bates,Consumer,Office Supplies,10391,Tuff Stuff™ Recycled Round Ring Binders,11/10/2014,88519,Medium,78207,Central,5/7/1967,11/10/2014,Regular Air,Texas,0.06,3,0.36,7,15,1,5
Binders and Binder Accessories,Columbus,Small Box,264,Erik Harmon,Home Office,Office Supplies,11071,"Avery Flip-Chart Easel Binder, Black",8/21/2015,86303,Low,43229,East,9/1/1971,8/21/2015,Regular Air,Ohio,0.01,4,0.38,-36,99,15,22
Telephones and Communication,King of Prussia,Small Box,358,Chris F Brandt,Corporate,Technology,10878,Talkabout T8367,12/2/2015,91135,Critical,19406,East,3/20/1964,12/3/2015,Express Air,Pennsylvania,0.09,14,0.56,309,733,9,66
Office Machines,Cleveland,Medium Box,2846,Jennifer Marks,Corporate,Technology,11203,Canon MP41DH Printing Calculator,9/18/2014,85934,High,37311,South,5/1/1949,9/22/2014,Express Air,Tennessee,0.05,1,0.38,-184,154,14,151
Telephones and Communication,San Antonio,Small Box,127,Ross Wang Bates,Consumer,Technology,10604,Item 10604,11/9/2015,88519,Medium,78207,Central,5/8/1967,11/9/2015,Regular Air,Texas,0.02,6,0.57,495,941,9,176
Computer Peripherals,West Hollywood,Small Box,463,Debbie Stevenson,Small Business,Technology,10641,Belkin MediaBoard 104- Keyboard,8/5/2014,88068,High,90069,West,3/26/1962,8/5/2014,Regular Air,California,0.06,1,0.75,-101,29,4,27
Storage & Organization,Cleveland,Small Box,2846,Jennifer Marks,Corporate,Office Supplies,10779,Filing/Storage Totes and Swivel Casters,9/17/2015,85934,High,37311,South,5/3/1949,9/21/2015,Regular Air,Tennessee,0.05,7,0.6,1556,72,9,10
Telephones and Communication,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Technology,10248,600 Series Flip,8/30/2015,90383,Low,98801,West,5/23/1965,8/31/2015,Regular Air,Washington,0.05,11,0.57,530,889,9,96
Telephones and Communication,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Technology,10247,Item 10247,8/30/2015,90383,Low,98801,West,5/22/1965,8/31/2015,Regular Air,Washington,0.08,2,0.57,-346,196,3,116
Office Furnishings,Philadelphia,Small Box,1228,Hazel Jennings,Small Business,Furniture,10891,"Eldon® Expressions™ Wood and Plastic Desk Accessories, Oak",11/17/2014,41760,Low,19140,East,2/8/1916,11/24/2014,Regular Air,Pennsylvania,0,24,0.57,-213,270,13,10
Office Furnishings,Wenatchee,Small Box,1231,Jim Roberson,Small Business,Furniture,10891,"Eldon® Expressions™ Wood and Plastic Desk Accessories, Oak",8/31/2014,90383,Low,98801,West,5/21/1965,9/1/2014,Regular Air,Washington,0,6,0.57,-165,67,13,10
Storage & Organization,Los Angeles,Large Box,553,Kristine Connolly,Home Office,Office Supplies,10744,Fellowes Neat Ideas® Storage Cubes,1/25/2016,17155,Medium,90008,West,6/26/1906,1/25/2016,Express Air,California,0.03,34,0.81,-1440,1168,35,32
Pens & Art Supplies,Southbury,Small Pack,2769,Melanie Barker Hirsch,Home Office,Office Supplies,11163,Sanford 52201 APSCO Electric Pencil Sharpener,9/2/2015,88981,Medium,6488,East,4/16/1952,9/2/2015,Regular Air,Connecticut,0,4,0.59,-63,178,9,41
Telephones and Communication,Seguin,Small Box,550,Edna Monroe Talley,Corporate,Technology,10579,StarTAC Series,7/27/2015,90914,Critical,78155,Central,4/24/1963,7/27/2015,Express Air,Texas,0.01,11,0.55,441,639,4,66
Computer Peripherals,Homestead,Small Pack,2969,Cameron Clapp,Small Business,Technology,10762,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",7/16/2015,86089,Not Specified,33030,South,4/18/1967,7/27/2015,Regular Air,Florida,0.01,12,0.66,97,60,5,5
Computer Peripherals,Homestead,Small Box,2969,Cameron Clapp,Small Business,Technology,10627,Fellowes EZ Multi-Media Keyboard,7/17/2014,86089,Not Specified,33030,South,4/17/1967,7/28/2014,Express Air,Florida,0.02,13,0.76,1352,450,8,35
Storage & Organization,Yonkers,Small Box,609,Shawn Adler,Corporate,Office Supplies,11240,Fellowes Staxonsteel® Drawer Files,1/7/2016,86443,Medium,10701,East,12/8/1960,1/7/2016,Regular Air,New York,0.06,8,0.71,280,1473,20,193
Office Furnishings,Boston,Wrap Bag,1606,Bob Ross,Home Office,Furniture,10313,"Master Big Foot® Doorstop, Beige",1/25/2016,87998,Low,2129,East,7/20/1950,1/25/2016,Regular Air,Massachusetts,0.04,4,0.54,-5,23,4,5
Computer Peripherals,Austin,Small Pack,1251,Leah Huff,Corporate,Technology,11259,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",9/12/2014,87882,Critical,78745,Central,1/20/1963,9/12/2014,Express Air,Texas,0.08,6,0.64,-179,94,9,16
Paper,Killingly Center,Small Box,2908,Robyn Lyon,Home Office,Office Supplies,10713,Xerox 1894,1/20/2016,88160,High,6241,East,11/21/1969,1/20/2016,Express Air,Connecticut,0.1,11,0.37,-115,73,6,6
Labels,Oxford,Small Box,29,Elizabeth Walker,Corporate,Office Supplies,11130,Avery 481,2/14/2016,87664,Not Specified,1540,East,4/30/1969,2/15/2016,Regular Air,Massachusetts,0.08,1,0.37,-2,4,1,3
Storage & Organization,Burke,Small Box,1671,Ron Allen,Small Business,Office Supplies,11165,Letter Size Cart,2/12/2016,86728,Critical,22015,South,5/7/1966,2/12/2016,Regular Air,Virginia,0.08,6,0.56,-209,833,20,143
Computer Peripherals,Minot,Small Box,3023,Evelyn Dougherty,Corporate,Technology,10752,Belkin 105-Key Black Keyboard,11/2/2016,91139,Medium,58701,Central,11/7/1956,11/3/2016,Regular Air,North Dakota,0.05,11,0.68,23,225,4,20
Office Furnishings,Roosevelt,Small Box,874,Andrew Beard,Small Business,Furniture,10481,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",9/17/2014,89062,Critical,11575,East,10/8/1952,9/17/2014,Regular Air,New York,0.05,10,0.44,315,457,7,47
Binders and Binder Accessories,Saint Paul,Small Box,635,Juan Justice,Corporate,Office Supplies,10899,"Wilson Jones 1"" Hanging DublLock® Ring Binders",10/20/2014,89289,Critical,55106,Central,1/8/1953,10/20/2014,Regular Air,Minnesota,0.07,5,0.37,-12,25,3,5
Pens & Art Supplies,Saint Paul,Small Pack,635,Juan Justice,Corporate,Office Supplies,11025,Boston 1730 StandUp Electric Pencil Sharpener,10/19/2015,89289,Critical,55106,Central,1/9/1953,10/19/2015,Regular Air,Minnesota,0.02,9,0.59,-35,199,9,21
Telephones and Communication,Scarsdale,Small Pack,3022,Patsy Langley,Corporate,Technology,10366,Accessory31,11/5/2014,91139,Medium,10583,East,11/8/1956,11/6/2014,Regular Air,New York,0.09,1,0.35,-110,28,1,36
Telephones and Communication,Killingly Center,Small Box,2908,Robyn Lyon,Home Office,Technology,10659,Item 10659,1/20/2016,88160,High,6241,East,11/22/1969,1/20/2016,Regular Air,Connecticut,0.05,6,0.6,281,959,4,196
Binders and Binder Accessories,Saint Paul,Small Box,635,Juan Justice,Corporate,Office Supplies,10965,"Avery Trapezoid Extra Heavy Duty 4"" Binders",10/17/2016,89289,Critical,55106,Central,1/7/1953,10/17/2016,Express Air,Minnesota,0.1,12,0.35,337,489,3,42
Paper,Durham,Small Box,1033,Sean Sparks,Corporate,Office Supplies,11193,Xerox 1997,2/1/2014,89627,Medium,27707,South,3/24/1971,2/2/2015,Express Air,North Carolina,0.03,12,0.37,488,82,10,6
Computer Peripherals,Frisco,Small Pack,1744,Leon Doyle,Consumer,Technology,10697,"80 Minute CD-R Spindle, 100/Pack - Staples",2/19/2016,91028,Not Specified,75034,Central,3/20/1965,2/19/2016,Regular Air,Texas,0.05,6,0.54,107,225,2,39
Tables,Greenville,Jumbo Box,1741,Carl Hobbs,Corporate,Furniture,10776,Anderson Hickey Conga Table Tops & Accessories,9/14/2015,85873,Critical,27834,South,7/26/1968,9/15/2015,Delivery Truck,North Carolina,0.05,1,0.76,377,24,28,15
Appliances,Hanover,Medium Box,256,Irene Li,Home Office,Office Supplies,10684,Honeywell Quietcare HEPA Air Cleaner,12/13/2015,86274,Critical,17331,East,5/1/1956,12/14/2015,Regular Air,Pennsylvania,0.1,2,0.52,-44,150,14,79
Paper,Boston,Small Box,1626,Joy Spivey,Corporate,Office Supplies,10668,Xerox 1887,2/2/2015,90605,Low,2129,East,12/13/1969,1/29/2016,Regular Air,Massachusetts,0.05,10,0.37,128,185,5,19
Paper,Boston,Small Box,1626,Joy Spivey,Corporate,Office Supplies,10669,Xerox 204,2/6/2013,90605,Low,2129,East,12/14/1969,2/3/2014,Regular Air,Massachusetts,0.09,12,0.37,-174,76,7,6
Storage & Organization,Lakeville,Small Box,2834,Maria Russell,Small Business,Office Supplies,10589,"Iris® 3-Drawer Stacking Bin, Black",11/9/2015,91033,Low,55044,Central,12/16/1956,11/9/2015,Regular Air,Minnesota,0.01,7,0.83,-275,150,12,21
Computer Peripherals,Jonesboro,Small Box,1721,Jennifer Zimmerman,Corporate,Technology,11229,US Robotics 56K V.92 Internal PCI Faxmodem,2/3/2015,90793,Low,72401,South,10/20/1964,1/29/2016,Express Air,Arkansas,0.1,13,0.45,-264,618,20,50
Bookcases,Baltimore,Jumbo Box,3371,Gregory Beasley,Home Office,Furniture,10125,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",8/3/2015,91477,Critical,21215,East,7/18/1962,8/7/2015,Delivery Truck,Maryland,0.08,8,0.78,-1456,765,57,101
Tables,Portland,Jumbo Box,521,Donald Montgomery,Small Business,Furniture,10895,Riverside Furniture Stanwyck Manor Table Series,2/22/2016,89330,Medium,97206,West,11/3/1951,2/22/2016,Delivery Truck,Oregon,0.1,3,0.78,-299,683,62,287
Paper,Oxford,Small Box,1609,Jerry Ennis,Consumer,Office Supplies,10828,Xerox 210,10/17/2016,87826,Not Specified,1540,East,11/4/1959,10/17/2016,Regular Air,Massachusetts,0.02,13,0.37,-157,89,7,6
Binders and Binder Accessories,Corpus Christi,Small Box,177,Brent Walters,Small Business,Office Supplies,11038,GBC VeloBinder Strips,11/3/2015,90829,High,78415,Central,7/15/1971,11/3/2015,Regular Air,Texas,0.07,12,0.35,-89,91,6,8
Storage & Organization,Portland,Small Box,521,Donald Montgomery,Small Business,Office Supplies,10863,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2/22/2016,89330,Medium,97206,West,11/2/1951,2/22/2016,Regular Air,Oregon,0.1,7,0.57,43,226,8,35
Telephones and Communication,Corpus Christi,Small Box,177,Brent Walters,Small Business,Technology,11039,2160i,11/1/2016,90829,High,78415,Central,7/16/1971,11/1/2016,Express Air,Texas,0.05,3,0.59,-38,519,4,201
Paper,Austin,Wrap Bag,117,Linda Weiss,Home Office,Office Supplies,11045,EcoTones® Memo Sheets,9/24/2014,13959,Medium,78745,Central,5/4/1905,9/24/2014,Express Air,Texas,0.09,19,0.37,17,78,1,4
Storage & Organization,Wheeling,Small Box,911,Marsha P Joyner,Corporate,Office Supplies,10270,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1/6/2016,90186,High,26003,East,10/13/1965,1/8/2016,Regular Air,West Virginia,0.01,8,0.57,354,514,10,60
Labels,Lake Oswego,Small Box,114,Ron Newton,Home Office,Office Supplies,10984,Avery 493,4/6/2013,89584,Medium,97035,West,8/14/1954,4/4/2014,Regular Air,Oregon,0.01,12,0.36,40,58,1,5
Labels,Austin,Small Box,117,Linda Weiss,Home Office,Office Supplies,10984,Avery 493,9/21/2016,13959,Medium,78745,Central,5/3/1905,9/21/2016,Regular Air,Texas,0.01,47,0.36,112,228,1,5
Telephones and Communication,York,Small Pack,2551,Joan Bowers,Small Business,Technology,10366,Accessory31,12/14/2015,88656,Low,17403,East,2/22/1967,12/14/2015,Regular Air,Pennsylvania,0,12,0.35,266,385,1,36
Telephones and Communication,Boston,Small Pack,2548,Wayne Bass,Small Business,Technology,10366,Accessory31,12/5/2015,46436,Low,2129,East,11/11/1917,12/7/2015,Regular Air,Massachusetts,0,46,0.35,840,1478,1,36
Binders and Binder Accessories,Leander,Small Box,1247,Henry O'Connell,Home Office,Office Supplies,11071,"Avery Flip-Chart Easel Binder, Black",9/7/2015,91555,High,78641,Central,4/16/1963,9/7/2015,Regular Air,Texas,0.1,7,0.38,-108,152,15,22
Binders and Binder Accessories,Boston,Small Box,1246,Lois Hansen,Home Office,Office Supplies,11071,"Avery Flip-Chart Easel Binder, Black",8/3/2015,36452,High,2129,East,1/3/1914,8/3/2015,Regular Air,Massachusetts,0.1,26,0.38,-108,565,15,22
Office Furnishings,Leander,Small Pack,1247,Henry O'Connell,Home Office,Furniture,10806,G.E. Halogen Desk Lamp Bulbs,9/5/2016,91555,High,78641,Central,4/17/1963,9/5/2016,Regular Air,Texas,0.04,5,0.37,25,36,3,7
Office Furnishings,Boston,Small Pack,1246,Lois Hansen,Home Office,Furniture,10806,G.E. Halogen Desk Lamp Bulbs,8/1/2016,36452,High,2129,East,1/4/1914,8/1/2016,Regular Air,Massachusetts,0.04,18,0.37,46,129,3,7
Pens & Art Supplies,Van Buren,Wrap Bag,2960,Allan Dickinson,Corporate,Office Supplies,11064,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",11/20/2014,90646,Not Specified,72956,South,7/18/1954,11/20/2014,Regular Air,Arkansas,0.1,11,0.41,-90,380,14,37
Telephones and Communication,Taylors,Wrap Bag,1459,Steve Raynor,Consumer,Technology,10560,Accessory34,9/27/2016,86734,High,29687,South,6/17/1968,9/27/2016,Regular Air,South Carolina,0.05,4,0.55,36,292,1,86
"Scissors, Rulers and Trimmers",Highland,Wrap Bag,1618,June Roberts,Consumer,Office Supplies,11046,Martin-Yale Premier Letter Opener,10/13/2015,90248,High,46322,Central,5/22/1953,10/13/2015,Regular Air,Indiana,0.09,13,0.82,-175,158,5,13
Rubber Bands,Augusta,Wrap Bag,925,Ruth Dudley,Small Business,Office Supplies,10599,Advantus Push Pins,2/2/2016,87134,Critical,4330,East,9/6/1954,2/2/2016,Regular Air,Maine,0.03,7,0.44,-7,16,1,2
Telephones and Communication,Columbia,Small Box,3279,Ricky Allred,Home Office,Technology,10788,Timeport L7089,9/21/2015,90766,High,29203,South,11/13/1954,9/21/2015,Regular Air,South Carolina,0.01,11,0.58,8,1213,8,126
Bookcases,Boston,Jumbo Box,102,Caroline Johnston,Consumer,Furniture,10268,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",12/13/2016,42599,Medium,2129,East,6/18/1916,12/13/2016,Delivery Truck,Massachusetts,0.04,31,0.55,2024,9460,55,301
Bookcases,Dover,Jumbo Box,107,Lois Hamilton,Consumer,Furniture,10268,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",2/10/2016,88204,Medium,3820,East,9/29/1965,2/10/2016,Delivery Truck,New Hampshire,0.04,8,0.55,1684,2441,55,301
Paper,Mission Viejo,Small Box,786,Jason Bray,Home Office,Office Supplies,10881,Southworth 25% Cotton Antique Laid Paper & Envelopes,9/18/2015,91513,Medium,92691,West,11/19/1962,9/21/2015,Regular Air,California,0,9,0.4,-5,76,5,8
Telephones and Communication,Lancaster,Small Box,1620,Gerald Petty,Consumer,Technology,10232,600 Series Non-Flip,10/11/2016,90248,High,17602,East,5/23/1953,10/11/2016,Express Air,Pennsylvania,0.02,4,0.57,4,163,5,46
Bookcases,Old Bridge,Jumbo Box,929,Calvin Conway,Small Business,Furniture,11112,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2/2/2016,87134,Critical,8857,East,9/7/1954,2/2/2016,Delivery Truck,New Jersey,0.01,10,0.66,539,1719,36,171
Office Furnishings,Greenfield,Medium Box,2334,Stephanie Hawkins,Consumer,Furniture,10947,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",12/14/2015,89608,Low,53220,Central,12/10/1964,12/14/2015,Regular Air,Wisconsin,0.06,10,0.64,427,619,12,61
Storage & Organization,Columbia,Large Box,3279,Ricky Allred,Home Office,Office Supplies,10475,Fellowes Officeware™ Wire Shelving,9/22/2014,90766,High,29203,South,11/11/1954,9/22/2014,Regular Air,South Carolina,0.06,4,0.83,31,366,35,90
Storage & Organization,Columbia,Small Box,3279,Ricky Allred,Home Office,Office Supplies,10896,"Fellowes Personal Hanging Folder Files, Navy",9/21/2015,90766,High,29203,South,11/12/1954,9/21/2015,Regular Air,South Carolina,0.1,12,0.57,358,158,6,13
Storage & Organization,Lakeland,Small Box,2240,Maurice Kelly,Corporate,Office Supplies,10896,"Fellowes Personal Hanging Folder Files, Navy",9/18/2015,89102,Low,33801,South,7/11/1951,9/18/2015,Express Air,Florida,0.01,7,0.57,-313,100,6,13
Pens & Art Supplies,La Vista,Wrap Bag,2874,Marian Willis,Home Office,Office Supplies,10690,*Staples* Highlighting Markers,11/24/2015,89873,Low,68128,Central,8/6/1959,11/24/2015,Regular Air,Nebraska,0.05,4,0.52,13,19,1,5
Office Furnishings,Papillion,Small Pack,683,Seth Merrill,Small Business,Furniture,10607,"Executive Impressions 12"" Wall Clock",10/2/2014,87765,Medium,68046,Central,10/19/1950,10/8/2014,Express Air,Nebraska,0.06,4,0.47,38,70,9,18
